,Word,list
1,library,도서관
2,character,성격
3,midnight,밤 열두시
4,story,이야기
5,rumor,소문
6,old,오래된
7,stand,서 있다
8,enchant,마법을 걸다
9,small,작은
10,town,마을
11,each other,서로서로
12,whisper,속삭이다
13,inside,안에
14,every,모든
15,life,삶
16,evening,저녁
17,curious,호기심 많은
18,bring,가져오다
19,decide,결정하다
20,into,안으로
21,sneak,몰래 가다
22,see,보다
23,true,사실인
24,strike,치다
25,rustle,바스락거리다
26,amazement,놀라움
27,step out,나가다
28,begin,시작하다
29,meet,만나다
30,even,심지어
31,pirate,해적
32,treasure,보물
33,island,섬
34,invite,초대하다
35,join,참여하다
36,council,회의
37,discuss,논의하다
38,tale,이야기
39,adventure,모험
40,wisdom,지혜
41,contain,포함하다
42,spend,(시간을)보내다
43,whole,전체의
44,listen,듣다
45,learn,배우다
46,promise,약속하다
47,keep,유지하다
48,secret,비밀
49,dawn,새벽
50,approach,다가오다
51,return,돌아가다
52,leave,떠나다
53,inspire,영감을 주다
54,fill with,가득차다
55,change,바꾸다
56,magic,마법
